Title,Link,"Tag (to add more than one, duplicate the row)",Last updated,Content type,Content sub-type,link_title,link_content_id,link_type,Policies,Collections,Withdrawn,12-month timeline,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,Total unique pageviews,Highest month,Lowest month,Monthly average,Monthly median,Recommendation,Redirect/combine with which content url,Notes,Changes live yet?,Status code,Redirecting
New guidance for non-association independent schools inspections,https://www.gov.uk/government/news/new-guidance-for-non-association-independent-schools-inspections,,12/09/2014,News article,Press release,,,ofsted,,,,,23,69,45,31,14,16,23,12,9,26,30,27,325,69,9,27,24,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/government/publications/non-association-independent-school-inspection-handbook-from-september-2015,Archive and point to current guidance.,,302,https://www.gov.uk/government/publications/non-association-independent-school-inspection-handbook-from-september-2015
Provider influence on the early home learning environment (EHLE): executive summary,https://www.gov.uk/government/publications/provider-influence-on-the-early-home-learning-environment-ehle-executive-summary,,30/06/2011,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,,,,35,68,53,64,34,46,28,26,22,38,43,69,526,69,22,44,40,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/provider-influence-on-the-home-learning-environment,The summary should be added to the where the main publication lives. This will help users interested in this research find all the relevant documents easily. ,Yes,302,https://www.gov.uk/government/publications/provider-influence-on-the-home-learning-environment
Using Effective Lifelong Learning Inventory to help young children learn,https://www.gov.uk/government/publications/using-effective-lifelong-learning-inventory-to-help-young-children-learn,,07/09/2011,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,27,42,49,38,46,69,60,43,48,30,33,485,69,27,40,43,current - no work needed,,,,200,
Early learning for 2-year-olds: trials,https://www.gov.uk/government/publications/early-learning-for-two-year-olds-trials,,12/06/2013,Publication,Policy paper,,,department-for-education,childcare-and-early-education,,,,39,53,39,43,27,16,22,15,20,28,68,17,387,68,15,32,28,current - no work needed,,,N/A,200,
Using a temporary environment to enable pre-school learning,https://www.gov.uk/government/publications/using-a-temporary-environment-to-enable-pre-school-learning,,28/03/2012,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,24,16,17,19,26,68,28,23,39,21,18,299,68,16,25,23,current - no work needed,,,,200,
Become a childminder agency,https://www.gov.uk/government/publications/become-a-childminder-agency,,27/08/2014,Publication,Form,,,ofsted,,/government/collections/ofsted-inspections-of-childminder-agencies,,,,,,,,,,,,21,67,67,155,67,21,13,67,current - no work needed,,,,200,
Effective collaboration to support childminders and parents,https://www.gov.uk/government/publications/effective-collaboration-to-support-childminders-and-parents,,08/10/2012,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,18,21,14,10,23,67,39,19,29,35,21,296,67,10,25,21,current - no work needed,,,,200,
New £2 million scheme for early years apprentices,https://www.gov.uk/government/news/new-2-million-scheme-for-early-years-apprentices,,29/05/2013,News article,Press release,,,department-for-education,further-education-and-training,,,,44,66,63,52,40,45,43,26,43,30,28,29,509,66,26,42,43,current - no work needed,,,N/A,200,
Ofsted Annual Report 2008/09,https://www.gov.uk/government/publications/her-majestys-chief-inspector-of-education-childrens-services-and-skills-annual-report-2008-to-2009,,24/11/2009,Publication,Corporate report,,,ofsted,,/government/collections/ofsted-annual-reports,,,16,31,16,31,33,34,25,19,22,19,49,66,361,66,16,30,28,current - no work needed,,,,200,
Ofsted - writing complaint and compliance action summaries,https://www.gov.uk/government/publications/ofsted-writing-complaint-and-compliance-action-summaries,,11/04/2014,Publication,Guidance,,,ofsted,,,,,25,66,49,44,50,35,42,46,30,30,52,51,520,66,25,43,45,current - no work needed,,,,200,
Investigating the role of language in children's early educational outcomes,https://www.gov.uk/government/publications/investigating-the-role-of-language-in-childrens-early-educational-outcomes,,30/06/2011,Publication,Research and analysis,,,department-for-education,,,,,46,66,47,66,42,60,34,25,24,35,47,38,530,66,24,44,44,current - no work needed,,,N/A,200,
Narey’s report on initial training for children's social workers,https://www.gov.uk/government/speeches/nareys-report-on-initial-training-for-childrens-social-workers,,13/02/2014,Speech,Statement to Parliament,,,department-for-education,children-s-social-workers,,,,56,65,56,39,38,47,39,41,26,38,49,51,545,65,26,45,44,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Baseline design: 180 place primary school with a 26 place nursery,https://www.gov.uk/government/publications/baseline-design-180-place-primary-school-with-a-26-place-nursery,,11/03/2014,Publication,Guidance,,,education-funding-agency,,School building design and maintenance,no,,30,38,51,65,48,37,38,39,31,42,58,37,514,65,30,43,38,current - no work needed,,,,200,
Funding allocations,https://www.gov.uk/government/speeches/funding-allocations,,18/12/2013,Speech,Statement to Parliament,,,department-for-education,"school-building-and-maintenance, education-of-disadvantaged-children",,,,49,64,40,30,19,34,34,29,17,15,21,21,373,64,15,31,30,current - no work needed,,,N/A,200,
Government’s response to the Heseltine review into economic growth,https://www.gov.uk/government/publications/governments-response-to-the-heseltine-review-into-economic-growth,,18/03/2013,Publication,Policy paper,,,"department-for-business-innovation-skills, hm-treasury","deficit-reduction, childcare-and-early-education, business-enterprise",,,,25,62,54,44,33,33,40,24,16,18,29,32,410,62,16,34,32,,,,,200,
Consultation on proposed changes to the role of the local authority in early education and childcare,https://www.gov.uk/government/consultations/consultation-on-proposed-changes-to-the-role-of-the-local-authority-in-early-education-and-childcare,,25/03/2013,Consultation,Consultation outcome,,,department-for-education,childcare-and-early-education,,,,45,61,43,59,36,47,22,15,16,19,29,21,413,61,15,34,32,current - no work needed,,,N/A,200,
Inspecting children's centres: report template,https://www.gov.uk/government/publications/report-template-for-childrens-centre-inspections-from-april-2013,,23/10/2014,Publication,Form,,,ofsted,,/government/collections/ofsted-inspections-of-childrens-centres,,,24,58,53,61,36,41,53,37,30,43,32,16,484,61,16,40,39,current but needs work - improve next version,,EdC. Children's Centres inspections - possible future policy changes pending DfE consultation,,200,
Childcare and early years survey of parents: 2011,https://www.gov.uk/government/statistics/childcare-and-early-years-survey-of-parents-2011,,31/01/2013,Publication,Official Statistics,,,department-for-education,childcare-and-early-education,/government/collections/statistics-childcare-and-early-years,,,61,52,54,43,41,41,28,16,15,14,31,22,418,61,14,35,36,current - no work needed,,,N/A,200,
Primary and 16 to 19 assessment and accountability,https://www.gov.uk/government/speeches/primary-and-16-to-19-assessment-and-accountability,,27/03/2014,Speech,Statement to Parliament,,,department-for-education,school-and-college-funding-and-accountability,,,,54,59,61,48,33,41,24,32,15,27,27,17,438,61,15,36,32,current - no work needed,,,N/A,200,
New wave of approved studio schools will take total to more than 40,https://www.gov.uk/government/news/new-wave-of-approved-studio-schools-will-take-total-to-more-than-40--2,,10/04/2013,News article,Press release,,,department-for-education,academies-and-free-schools,,,,38,45,59,60,28,46,39,24,26,48,37,19,469,60,19,39,38,not relevant to topic - remove from list,,This isn't related to early years. Remove from list.,N/A,200,
Update - Child care business scheme,https://www.gov.uk/government/news/child-care-business-scheme-extended,,04/09/2014,News article,Press release,,,"department-for-education, government-equalities-office","childcare-and-early-education, equality",,,,36,59,30,43,45,60,57,37,17,21,21,26,452,60,17,38,36,current - no work needed,http://www.childcarebusinessgrants.dcms.gov.uk/,"info is out of date, but there's a link to the external site for the grant.",N/A,200,
Government sets out vision to support parents and families,https://www.gov.uk/government/news/government-sets-out-vision-to-support-parents-and-families,,18/07/2011,News article,Press release,,,department-for-education,childcare-and-early-education,,,,48,56,40,49,56,31,31,19,14,23,41,60,468,60,14,39,40,current - no work needed,,page not found,N/A,200,
Ofsted Annual Report 2009/10,https://www.gov.uk/government/publications/her-majestys-chief-inspector-of-education-childrens-services-and-skills-annual-report-2009-to-2010,,23/11/2010,Publication,Corporate report,,,ofsted,,/government/collections/ofsted-annual-reports,,,14,31,42,44,50,56,36,19,21,19,60,51,443,60,14,37,39,current - no work needed,,,,200,
Section 251 outturn 2013 to 2014: guidance for local authorities,https://www.gov.uk/government/publications/section-251-outturn-2013-to-2014-guidance-for-local-authorities,,17/07/2014,Publication,Guidance,,,"department-for-education, education-funding-agency",school-and-college-funding-and-accountability,/government/collections/section-251-materials,,,50,60,47,52,47,60,59,49,54,37,60,43,618,60,37,52,51,current - no work needed,,,N/A,200,
New phonics check will identify thousands of children needing extra reading help,https://www.gov.uk/government/news/new-phonics-check-will-identify-thousands-of-children-needing-extra-reading-help,,16/09/2011,News article,News story,,,department-for-education,school-and-college-qualifications-and-curriculum,,,,36,59,39,33,40,39,32,15,7,22,25,24,371,59,7,31,32,current - no work needed,,,N/A,200,
Number of children's centres by local authority,https://www.gov.uk/government/news/number-of-childrens-centres-by-local-authority,,14/11/2011,News article,News story,,,department-for-education,childcare-and-early-education,,,,36,59,32,44,59,57,36,25,25,25,39,46,483,59,25,40,38,current - no work needed,,,N/A,200,
Free early education: government sets out which 2-year-olds will be eligible,https://www.gov.uk/government/news/free-early-education-government-sets-out-which-2-year-olds-will-be-eligible,,19/09/2011,News article,Press release,,,department-for-education,childcare-and-early-education,,,,58,51,34,55,59,44,59,24,30,20,30,36,500,59,20,42,40,current - no work needed,,,N/A,200,
Good early years provision for all,https://www.gov.uk/government/consultations/good-early-years-provision-for-all,,19/04/2013,Consultation,Closed consultation,,,ofsted,,,,,27,58,30,30,33,13,21,13,7,10,17,21,280,58,7,23,21,current - no work needed,,,,200,
DfE to close arm's length bodies to improve accountability,https://www.gov.uk/government/news/dfe-to-close-arms-length-bodies-to-improve-accountability,,14/10/2010,News article,Press release,,,department-for-education,,,,,22,39,25,37,21,47,57,30,28,20,46,44,416,57,20,35,34,not relevant to topic - remove from list,,This isn't related to early years. Remove from list.,N/A,200,
The early education pilot for 2-year-old children: age 5 follow up,https://www.gov.uk/government/publications/the-early-education-pilot-for-two-year-old-children-age-five-follow-up,,07/03/2013,Publication,Research and analysis,,,department-for-education,,,,,25,57,44,41,35,20,14,16,12,18,24,13,319,57,12,27,22,current - no work needed,,,N/A,200,
